Id,Political Party,Ideology,Race,Gender,Religion,Family Income,Education,Age,Region,Bush Approval,Vote
859,Democratic,Moderate,Other,Female,Catholic,50000-74999,Post-Grad,18-29,South,Disapprove,Obama
860,Democratic,Liberal,Other,Male,Catholic,150000+,H.S. diploma or less,30-44,South,Disapprove,Obama
861,Republican,Conservative,Other,Female,Protestant,75000-99999,H.S. diploma or less,45-64,South,Disapprove,Obama
862,Independent,Liberal,White,Female,Other,75000-99999,College,30-44,South,Disapprove,Obama
863,Independent,Moderate,White,Female,Protestant,75000-99999,H.S. diploma or less,45-64,Midwest,Approve,McCain
864,Republican,Liberal,White,Male,Protestant,Less than 30000,College,45-64,West,Disapprove,Obama
865,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,18-29,Midwest,Disapprove,Obama
866,Democratic,Moderate,White,Female,Protestant,150000+,College,18-29,Midwest,Approve,Obama
867,Democratic,Moderate,White,Male,Protestant,30000-49999,College,18-29,West,Approve,Obama
868,Republican,Moderate,White,Male,Catholic,30000-49999,College,45-64,Northeast,Approve,Obama
869,Democratic,Moderate,White,Male,Catholic,30000-49999,College,45-64,West,Approve,Obama
870,Democratic,Moderate,White,Female,Protestant,100000-149999,Post-Grad,30-44,Midwest,Approve,Obama
871,Independent,Liberal,White,Female,Catholic,75000-99999,Post-Grad,30-44,West,Disapprove,Obama
872,Democratic,Conservative,White,Female,Protestant,100000-149999,Post-Grad,45-64,South,Disapprove,Obama
873,Democratic,Liberal,Black,Female,Catholic,75000-99999,Post-Grad,45-64,South,Approve,Obama
874,Democratic,Moderate,Other,Female,Protestant,Less than 30000,College,45-64,West,Disapprove,Obama
875,Republican,Conservative,Black,Female,Protestant,30000-49999,College,65+,Northeast,Disapprove,Obama
876,Republican,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,South,Disapprove,Obama
877,Republican,Moderate,White,Male,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
878,Independent,Moderate,White,Male,Protestant,30000-49999,College,18-29,Northeast,Disapprove,Obama
879,Independent,Moderate,White,Male,Protestant,50000-74999,College,30-44,Northeast,Disapprove,Obama
880,Democratic,Moderate,White,Male,Catholic,150000+,H.S. diploma or less,30-44,South,Approve,Obama
881,Republican,Moderate,White,Female,Protestant,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
882,Democratic,Conservative,White,Female,Catholic,75000-99999,H.S. diploma or less,45-64,Northeast,Approve,Obama
883,Republican,Moderate,Other,Male,Catholic,75000-99999,H.S. diploma or less,45-64,South,Disapprove,Obama
884,Independent,Liberal,White,Female,Protestant,75000-99999,College,18-29,Midwest,Approve,Obama
885,Independent,Liberal,White,Female,Other,Less than 30000,College,45-64,Midwest,Disapprove,Obama
886,Republican,Conservative,White,Female,Protestant,100000-149999,College,18-29,South,Disapprove,Obama
887,Democratic,Moderate,White,Female,Protestant,Less than 30000,College,30-44,Midwest,Disapprove,Obama
888,Republican,Moderate,White,Male,Protestant,30000-49999,College,18-29,West,Approve,Obama
889,Republican,Moderate,White,Female,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
890,Democratic,Moderate,Black,Female,Protestant,50000-74999,Post-Grad,18-29,Midwest,Disapprove,Obama
891,Democratic,Moderate,Black,Male,Catholic,50000-74999,College,45-64,West,Disapprove,Obama
892,Independent,Moderate,Black,Male,Catholic,50000-74999,Post-Grad,45-64,Northeast,Disapprove,Obama
893,Independent,Conservative,White,Male,Catholic,150000+,H.S. diploma or less,45-64,South,Disapprove,Obama
894,Republican,Conservative,White,Female,Other,50000-74999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
895,Democratic,Conservative,White,Male,Protestant,150000+,College,45-64,Northeast,Disapprove,Obama
896,Democratic,Conservative,White,Male,Other,150000+,College,18-29,South,Disapprove,Obama
897,Republican,Liberal,White,Female,Protestant,30000-49999,College,18-29,Midwest,Disapprove,Obama
898,Democratic,Moderate,Other,Female,Catholic,30000-49999,College,18-29,South,Disapprove,Obama
899,Democratic,Conservative,White,Female,Protestant,100000-149999,College,45-64,South,Approve,Obama
900,Republican,Moderate,Black,Male,Catholic,Less than 30000,Post-Grad,45-64,Midwest,Disapprove,Obama
901,Republican,Moderate,White,Female,Protestant,30000-49999,College,45-64,West,Approve,Obama
902,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,West,Approve,Obama
903,Independent,Moderate,Black,Male,Catholic,75000-99999,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
904,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,18-29,Northeast,Approve,Obama
905,Republican,Moderate,White,Female,Catholic,100000-149999,College,18-29,West,Disapprove,Obama
906,Democratic,Conservative,White,Female,Protestant,150000+,H.S. diploma or less,18-29,Northeast,Disapprove,Obama
907,Republican,Moderate,White,Male,Catholic,100000-149999,College,65+,South,Disapprove,Obama
908,Independent,Liberal,Black,Female,Protestant,30000-49999,H.S. diploma or less,30-44,South,Disapprove,Obama
909,Democratic,Moderate,White,Female,Protestant,100000-149999,College,30-44,West,Disapprove,Obama
910,Republican,Conservative,White,Male,Protestant,30000-49999,College,30-44,Northeast,Disapprove,Obama
911,Independent,Moderate,White,Female,Protestant,150000+,College,45-64,South,Disapprove,Obama
912,Republican,Moderate,White,Female,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
913,Democratic,Moderate,Other,Female,Protestant,50000-74999,College,45-64,Northeast,Disapprove,Obama
914,Democratic,Moderate,Other,Male,Catholic,50000-74999,Post-Grad,45-64,Northeast,Approve,Obama
915,Republican,Moderate,Other,Male,Catholic,50000-74999,College,45-64,South,Approve,McCain
916,Democratic,Moderate,Other,Male,Protestant,50000-74999,Post-Grad,30-44,South,Disapprove,Obama
917,Republican,Liberal,Black,Male,Protestant,50000-74999,College,18-29,Midwest,Approve,Obama
918,Independent,Conservative,White,Male,Protestant,Less than 30000,College,30-44,South,Approve,Obama
919,Republican,Liberal,White,Male,Protestant,150000+,College,30-44,South,Disapprove,Obama
920,Democratic,Moderate,White,Female,Protestant,30000-49999,College,30-44,Midwest,Disapprove,Obama
921,Democratic,Conservative,White,Female,Protestant,150000+,College,45-64,West,Approve,Obama
922,Democratic,Liberal,White,Male,Protestant,50000-74999,College,30-44,Midwest,Disapprove,Obama
923,Democratic,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,45-64,West,Disapprove,Obama
924,Republican,Moderate,White,Male,Protestant,50000-74999,H.S. diploma or less,45-64,Northeast,Approve,Obama
925,Independent,Moderate,White,Female,Protestant,100000-149999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
926,Republican,Moderate,White,Male,Protestant,50000-74999,College,30-44,West,Disapprove,Obama
927,Democratic,Moderate,White,Male,Protestant,150000+,H.S. diploma or less,65+,Northeast,Disapprove,Obama
928,Democratic,Conservative,White,Female,Catholic,100000-149999,H.S. diploma or less,30-44,South,Disapprove,Obama
929,Republican,Moderate,White,Male,Catholic,30000-49999,H.S. diploma or less,65+,South,Disapprove,Obama
930,Democratic,Conservative,Other,Female,Catholic,30000-49999,College,30-44,Northeast,Disapprove,Obama
931,Republican,Liberal,White,Male,Protestant,Less than 30000,College,30-44,South,Disapprove,Obama
932,Independent,Liberal,White,Male,Other,Less than 30000,College,30-44,Midwest,Disapprove,Obama
933,Republican,Conservative,White,Female,Protestant,Less than 30000,College,45-64,Midwest,Disapprove,Obama
934,Democratic,Moderate,White,Female,Protestant,30000-49999,College,30-44,South,Approve,Obama
935,Independent,Moderate,White,Female,Protestant,50000-74999,H.S. diploma or less,65+,Midwest,Approve,McCain
936,Democratic,Conservative,White,Female,Catholic,30000-49999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
937,Democratic,Liberal,White,Female,Catholic,75000-99999,H.S. diploma or less,65+,Northeast,Disapprove,Obama
938,Democratic,Liberal,White,Female,Catholic,100000-149999,H.S. diploma or less,30-44,Midwest,Disapprove,Obama
939,Republican,Liberal,White,Male,Catholic,100000-149999,College,30-44,West,Disapprove,Obama
940,Republican,Moderate,Black,Male,Catholic,Less than 30000,College,30-44,Northeast,Disapprove,Obama
941,Republican,Moderate,Black,Male,Other,100000-149999,College,30-44,South,Disapprove,Obama
942,Independent,Moderate,White,Male,Protestant,30000-49999,Post-Grad,45-64,Midwest,Disapprove,Obama
943,Democratic,Moderate,White,Male,Other,30000-49999,College,45-64,West,Disapprove,Obama
944,Democratic,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,Northeast,Disapprove,Obama
945,Republican,Liberal,White,Female,Catholic,50000-74999,H.S. diploma or less,18-29,South,Disapprove,Obama
946,Republican,Moderate,White,Female,Other,50000-74999,College,45-64,Northeast,Disapprove,Obama
947,Republican,Conservative,White,Female,Protestant,50000-74999,College,65+,South,Approve,McCain
948,Republican,Conservative,White,Female,Protestant,150000+,Post-Grad,45-64,South,Disapprove,McCain
949,Independent,Conservative,White,Female,Protestant,150000+,College,65+,Midwest,Approve,McCain
950,Democratic,Moderate,White,Female,Catholic,30000-49999,College,30-44,South,Approve,Obama
951,Democratic,Conservative,Other,Female,Catholic,75000-99999,College,30-44,South,Disapprove,Obama
952,Republican,Moderate,Black,Male,Catholic,Less than 30000,College,30-44,Midwest,Disapprove,Obama
953,Democratic,Moderate,Black,Male,Other,30000-49999,College,30-44,West,Disapprove,Obama
954,Independent,Moderate,White,Male,Other,30000-49999,College,45-64,Midwest,Approve,Obama
955,Republican,Moderate,White,Male,Protestant,30000-49999,H.S. diploma or less,45-64,Midwest,Disapprove,Obama
956,Independent,Moderate,White,Male,Protestant,30000-49999,College,45-64,West,Approve,Obama
957,Independent,Moderate,White,Male,Other,30000-49999,H.S. diploma or less,30-44,Northeast,Approve,Obama
958,Democratic,Liberal,White,Male,Protestant,100000-149999,H.S. diploma or less,45-64,West,Disapprove,Obama
959,Democratic,Conservative,White,Female,Protestant,50000-74999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
960,Republican,Liberal,White,Female,Catholic,100000-149999,College,18-29,Northeast,Disapprove,Obama
961,Republican,Moderate,White,Female,Catholic,100000-149999,College,45-64,South,Disapprove,McCain
962,Independent,Moderate,White,Female,Catholic,100000-149999,College,45-64,Northeast,Disapprove,Obama
963,Republican,Moderate,White,Female,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
964,Independent,Moderate,Other,Female,Other,30000-49999,College,18-29,South,Disapprove,Obama
965,Independent,Moderate,Other,Male,Other,30000-49999,College,30-44,Midwest,Approve,Obama
966,Democratic,Conservative,White,Female,Protestant,50000-74999,College,45-64,South,Approve,Obama
967,Democratic,Moderate,Black,Male,Protestant,50000-74999,College,45-64,Midwest,Disapprove,Obama
968,Democratic,Moderate,White,Male,Other,100000-149999,H.S. diploma or less,65+,West,Approve,Obama
969,Democratic,Conservative,White,Male,Protestant,50000-74999,H.S. diploma or less,30-44,West,Disapprove,Obama
970,Republican,Conservative,Black,Female,Protestant,150000+,College,30-44,Midwest,Disapprove,Obama
971,Independent,Conservative,White,Male,Protestant,75000-99999,H.S. diploma or less,30-44,West,Approve,Obama
972,Independent,Conservative,White,Female,Catholic,75000-99999,College,30-44,Northeast,Disapprove,Obama
973,Democratic,Conservative,White,Female,Catholic,Less than 30000,College,30-44,South,Disapprove,Obama
974,Democratic,Moderate,White,Male,Protestant,100000-149999,College,45-64,Midwest,Disapprove,Obama
975,Democratic,Liberal,White,Male,Catholic,Less than 30000,Post-Grad,45-64,West,Disapprove,Obama
976,Democratic,Liberal,White,Male,Other,Less than 30000,College,65+,Northeast,Disapprove,Obama
977,Republican,Moderate,Other,Male,Other,30000-49999,H.S. diploma or less,45-64,South,Disapprove,Obama
978,Democratic,Moderate,Black,Male,Other,50000-74999,Post-Grad,30-44,West,Approve,Obama
979,Republican,Conservative,Black,Female,Protestant,50000-74999,H.S. diploma or less,30-44,Northeast,Disapprove,Obama
980,Independent,Conservative,White,Female,Protestant,100000-149999,College,30-44,South,Disapprove,Obama
981,Democratic,Conservative,White,Female,Protestant,100000-149999,H.S. diploma or less,45-64,Midwest,Approve,Obama
982,Democratic,Conservative,White,Female,Protestant,100000-149999,College,30-44,Northeast,Disapprove,Obama
983,Democratic,Conservative,White,Female,Catholic,30000-49999,College,45-64,South,Disapprove,Obama
984,Democratic,Liberal,White,Female,Catholic,100000-149999,College,30-44,Midwest,Disapprove,Obama
985,Republican,Moderate,White,Female,Catholic,30000-49999,H.S. diploma or less,30-44,West,Approve,Obama
986,Republican,Liberal,Black,Male,Catholic,30000-49999,College,65+,Midwest,Approve,Obama
987,Independent,Moderate,White,Male,Catholic,30000-49999,Post-Grad,65+,Midwest,Approve,Obama
988,Independent,Conservative,White,Male,Other,100000-149999,Post-Grad,65+,West,Approve,McCain
989,Independent,Moderate,White,Male,Protestant,30000-49999,College,45-64,Northeast,Disapprove,Obama
990,Democratic,Conservative,Other,Male,Catholic,100000-149999,College,30-44,Midwest,Disapprove,Obama
991,Democratic,Conservative,White,Male,Protestant,50000-74999,Post-Grad,30-44,West,Disapprove,Obama
992,Republican,Conservative,White,Female,Protestant,50000-74999,College,30-44,Northeast,Disapprove,Obama
993,Independent,Liberal,White,Female,Other,150000+,College,30-44,South,Disapprove,Obama
994,Republican,Conservative,White,Female,Protestant,75000-99999,College,30-44,Northeast,Disapprove,Obama
995,Independent,Moderate,White,Female,Catholic,30000-49999,College,45-64,Northeast,Disapprove,Obama
996,Independent,Moderate,White,Female,Catholic,100000-149999,College,65+,South,Disapprove,Obama
997,Democratic,Moderate,White,Female,Catholic,75000-99999,College,45-64,West,Disapprove,Obama
998,Democratic,Moderate,White,Female,Catholic,75000-99999,College,30-44,Northeast,Disapprove,Obama
999,Republican,Moderate,White,Female,Catholic,75000-99999,College,65+,West,Disapprove,McCain
1000,Republican,Moderate,White,Male,Protestant,Less than 30000,Post-Grad,30-44,West,Approve,Obama
1001,Independent,Conservative,White,Female,Catholic,30000-49999,College,30-44,Northeast,Approve,Obama
1002,Republican,Moderate,Other,Male,Protestant,30000-49999,Post-Grad,30-44,South,Disapprove,Obama
